sample_name,bam_file_path,treatment
eds1_a2_r1,CAP_I_tophat_sortedbam/eds1_a2_r1/eds1_a2_r1.sorted.bam,eds1_a2
eds1_a2_r2,CAP_I_tophat_sortedbam/eds1_a2_r2/eds1_a2_r2.sorted.bam,eds1_a2
eds1_a2_r3,CAP_I_tophat_sortedbam/eds1_a2_r3/eds1_a2_r3.sorted.bam,eds1_a2
eds1_a4_r1,CAP_I_tophat_sortedbam/eds1_a4_r1/eds1_a4_r1.sorted.bam,eds1_a4
eds1_a4_r2,CAP_I_tophat_sortedbam/eds1_a4_r2/eds1_a4_r2.sorted.bam,eds1_a4
eds1_a4_r3,CAP_I_tophat_sortedbam/eds1_a4_r3/eds1_a4_r3.sorted.bam,eds1_a4
eds1_kv_r1,CAP_I_tophat_sortedbam/eds1_kv_r1/eds1_kv_r1.sorted.bam,eds1_kv
eds1_kv_r2,CAP_I_tophat_sortedbam/eds1_kv_r2/eds1_kv_r2.sorted.bam,eds1_kv
eds1_kv_r3,CAP_I_tophat_sortedbam/eds1_kv_r3/eds1_kv_r3.sorted.bam,eds1_kv
eds1_mk_r1,CAP_I_tophat_sortedbam/eds1_mk_r1/eds1_mk_r1.sorted.bam,eds1_mk
eds1_mk_r2,CAP_I_tophat_sortedbam/eds1_mk_r2/eds1_mk_r2.sorted.bam,eds1_mk
eds1_mk_r3,CAP_I_tophat_sortedbam/eds1_mk_r3/eds1_mk_r3.sorted.bam,eds1_mk
gdna_r1,CAP_I_tophat_sortedbam/gdna_r1/gdna_r1.sorted.bam,gdna
gdna_r2,CAP_I_tophat_sortedbam/gdna_r2/gdna_r2.sorted.bam,gdna
gdna_r3,CAP_I_tophat_sortedbam/gdna_r3/gdna_r3.sorted.bam,gdna
gh_a2_r1,CAP_I_tophat_sortedbam/gh_a2_r1/gh_a2_r1.sorted.bam,gh_a2
gh_a2_r2,CAP_I_tophat_sortedbam/gh_a2_r2/gh_a2_r2.sorted.bam,gh_a2
gh_a2_r3,CAP_I_tophat_sortedbam/gh_a2_r3/gh_a2_r3.sorted.bam,gh_a2
gh_a4_r1,CAP_I_tophat_sortedbam/gh_a4_r1/gh_a4_r1.sorted.bam,gh_a4
gh_a4_r2,CAP_I_tophat_sortedbam/gh_a4_r2/gh_a4_r2.sorted.bam,gh_a4
gh_a4_r3,CAP_I_tophat_sortedbam/gh_a4_r3/gh_a4_r3.sorted.bam,gh_a4
gh_kv_r1,CAP_I_tophat_sortedbam/gh_kv_r1/gh_kv_r1.sorted.bam,gh_kv
gh_kv_r2,CAP_I_tophat_sortedbam/gh_kv_r2/gh_kv_r2.sorted.bam,gh_kv
gh_kv_r3,CAP_I_tophat_sortedbam/gh_kv_r3/gh_kv_r3.sorted.bam,gh_kv
gh_mk_r1,CAP_I_tophat_sortedbam/gh_mk_r1/gh_mk_r1.sorted.bam,gh_mk
gh_mk_r2,CAP_I_tophat_sortedbam/gh_mk_r2/gh_mk_r2.sorted.bam,gh_mk
gh_mk_r3,CAP_I_tophat_sortedbam/gh_mk_r3/gh_mk_r3.sorted.bam,gh_mk
myc234_a2_r1,CAP_I_tophat_sortedbam/myc234_a2_r1/myc234_a2_r1.sorted.bam,myc234_a2
myc234_a2_r2,CAP_I_tophat_sortedbam/myc234_a2_r2/myc234_a2_r2.sorted.bam,myc234_a2
myc234_a2_r3,CAP_I_tophat_sortedbam/myc234_a2_r3/myc234_a2_r3.sorted.bam,myc234_a2
myc234_a4_r1,CAP_I_tophat_sortedbam/myc234_a4_r1/myc234_a4_r1.sorted.bam,myc234_a4
myc234_a4_r2,CAP_I_tophat_sortedbam/myc234_a4_r2/myc234_a4_r2.sorted.bam,myc234_a4
myc234_a4_r3,CAP_I_tophat_sortedbam/myc234_a4_r3/myc234_a4_r3.sorted.bam,myc234_a4
myc234_kv_r1,CAP_I_tophat_sortedbam/myc234_kv_r1/myc234_kv_r1.sorted.bam,myc234_kv
myc234_kv_r2,CAP_I_tophat_sortedbam/myc234_kv_r2/myc234_kv_r2.sorted.bam,myc234_kv
myc234_kv_r3,CAP_I_tophat_sortedbam/myc234_kv_r3/myc234_kv_r3.sorted.bam,myc234_kv
myc234_mk_r1,CAP_I_tophat_sortedbam/myc234_mk_r1/myc234_mk_r1.sorted.bam,myc234_mk
myc234_mk_r2,CAP_I_tophat_sortedbam/myc234_mk_r2/myc234_mk_r2.sorted.bam,myc234_mk
myc234_mk_r3,CAP_I_tophat_sortedbam/myc234_mk_r3/myc234_mk_r3.sorted.bam,myc234_mk
peds_a2_r1,CAP_I_tophat_sortedbam/peds_a2_r1/peds_a2_r1.sorted.bam,peds_a2
peds_a2_r2,CAP_I_tophat_sortedbam/peds_a2_r2/peds_a2_r2.sorted.bam,peds_a2
peds_a2_r3,CAP_I_tophat_sortedbam/peds_a2_r3/peds_a2_r3.sorted.bam,peds_a2
peds_a4_r1,CAP_I_tophat_sortedbam/peds_a4_r1/peds_a4_r1.sorted.bam,peds_a4
peds_a4_r2,CAP_I_tophat_sortedbam/peds_a4_r2/peds_a4_r2.sorted.bam,peds_a4
peds_a4_r3,CAP_I_tophat_sortedbam/peds_a4_r3/peds_a4_r3.sorted.bam,peds_a4
peds_kv_r1,CAP_I_tophat_sortedbam/peds_kv_r1/peds_kv_r1.sorted.bam,peds_kv
peds_kv_r2,CAP_I_tophat_sortedbam/peds_kv_r2/peds_kv_r2.sorted.bam,peds_kv
peds_kv_r3,CAP_I_tophat_sortedbam/peds_kv_r3/peds_kv_r3.sorted.bam,peds_kv
peds_mk_r1,CAP_I_tophat_sortedbam/peds_mk_r1/peds_mk_r1.sorted.bam,peds_mk
peds_mk_r2,CAP_I_tophat_sortedbam/peds_mk_r2/peds_mk_r2.sorted.bam,peds_mk
peds_mk_r3,CAP_I_tophat_sortedbam/peds_mk_r3/peds_mk_r3.sorted.bam,peds_mk
r1ab_a2_r1,CAP_I_tophat_sortedbam/r1ab_a2_r1/r1ab_a2_r1.sorted.bam,r1ab_a2
r1ab_a2_r2,CAP_I_tophat_sortedbam/r1ab_a2_r2/r1ab_a2_r2.sorted.bam,r1ab_a2
r1ab_a2_r3,CAP_I_tophat_sortedbam/r1ab_a2_r3/r1ab_a2_r3.sorted.bam,r1ab_a2
r1ab_a4_r1,CAP_I_tophat_sortedbam/r1ab_a4_r1/r1ab_a4_r1.sorted.bam,r1ab_a4
r1ab_a4_r2,CAP_I_tophat_sortedbam/r1ab_a4_r2/r1ab_a4_r2.sorted.bam,r1ab_a4
r1ab_a4_r3,CAP_I_tophat_sortedbam/r1ab_a4_r3/r1ab_a4_r3.sorted.bam,r1ab_a4
r1ab_kv_r1,CAP_I_tophat_sortedbam/r1ab_kv_r1/r1ab_kv_r1.sorted.bam,r1ab_kv
r1ab_kv_r2,CAP_I_tophat_sortedbam/r1ab_kv_r2/r1ab_kv_r2.sorted.bam,r1ab_kv
r1ab_kv_r3,CAP_I_tophat_sortedbam/r1ab_kv_r3/r1ab_kv_r3.sorted.bam,r1ab_kv
r1ab_mk_r1,CAP_I_tophat_sortedbam/r1ab_mk_r1/r1ab_mk_r1.sorted.bam,r1ab_mk
r1ab_mk_r2,CAP_I_tophat_sortedbam/r1ab_mk_r2/r1ab_mk_r2.sorted.bam,r1ab_mk
r1ab_mk_r3,CAP_I_tophat_sortedbam/r1ab_mk_r3/r1ab_mk_r3.sorted.bam,r1ab_mk
sid2_a2_r1,CAP_I_tophat_sortedbam/sid2_a2_r1/sid2_a2_r1.sorted.bam,sid2_a2
sid2_a2_r2,CAP_I_tophat_sortedbam/sid2_a2_r2/sid2_a2_r2.sorted.bam,sid2_a2
sid2_a2_r3,CAP_I_tophat_sortedbam/sid2_a2_r3/sid2_a2_r3.sorted.bam,sid2_a2
sid2_a4_r1,CAP_I_tophat_sortedbam/sid2_a4_r1/sid2_a4_r1.sorted.bam,sid2_a4
sid2_a4_r2,CAP_I_tophat_sortedbam/sid2_a4_r2/sid2_a4_r2.sorted.bam,sid2_a4
sid2_a4_r3,CAP_I_tophat_sortedbam/sid2_a4_r3/sid2_a4_r3.sorted.bam,sid2_a4
sid2_kv_r1,CAP_I_tophat_sortedbam/sid2_kv_r1/sid2_kv_r1.sorted.bam,sid2_kv
sid2_kv_r2,CAP_I_tophat_sortedbam/sid2_kv_r2/sid2_kv_r2.sorted.bam,sid2_kv
sid2_kv_r3,CAP_I_tophat_sortedbam/sid2_kv_r3/sid2_kv_r3.sorted.bam,sid2_kv
sid2_mk_r1,CAP_I_tophat_sortedbam/sid2_mk_r1/sid2_mk_r1.sorted.bam,sid2_mk
sid2_mk_r2,CAP_I_tophat_sortedbam/sid2_mk_r2/sid2_mk_r2.sorted.bam,sid2_mk
sid2_mk_r3,CAP_I_tophat_sortedbam/sid2_mk_r3/sid2_mk_r3.sorted.bam,sid2_mk
tplr14_a2_r1,CAP_I_tophat_sortedbam/tplr14_a2_r1/tplr14_a2_r1.sorted.bam,tplr14_a2
tplr14_a2_r2,CAP_I_tophat_sortedbam/tplr14_a2_r2/tplr14_a2_r2.sorted.bam,tplr14_a2
tplr14_a2_r3,CAP_I_tophat_sortedbam/tplr14_a2_r3/tplr14_a2_r3.sorted.bam,tplr14_a2
tplr14_a4_r1,CAP_I_tophat_sortedbam/tplr14_a4_r1/tplr14_a4_r1.sorted.bam,tplr14_a4
tplr14_a4_r2,CAP_I_tophat_sortedbam/tplr14_a4_r2/tplr14_a4_r2.sorted.bam,tplr14_a4
tplr14_a4_r3,CAP_I_tophat_sortedbam/tplr14_a4_r3/tplr14_a4_r3.sorted.bam,tplr14_a4
tplr14_kv_r1,CAP_I_tophat_sortedbam/tplr14_kv_r1/tplr14_kv_r1.sorted.bam,tplr14_kv
tplr14_kv_r2,CAP_I_tophat_sortedbam/tplr14_kv_r2/tplr14_kv_r2.sorted.bam,tplr14_kv
tplr14_kv_r3,CAP_I_tophat_sortedbam/tplr14_kv_r3/tplr14_kv_r3.sorted.bam,tplr14_kv
tplr14_mk_r1,CAP_I_tophat_sortedbam/tplr14_mk_r1/tplr14_mk_r1.sorted.bam,tplr14_mk
tplr14_mk_r2,CAP_I_tophat_sortedbam/tplr14_mk_r2/tplr14_mk_r2.sorted.bam,tplr14_mk
tplr14_mk_r3,CAP_I_tophat_sortedbam/tplr14_mk_r3/tplr14_mk_r3.sorted.bam,tplr14_mk
wt_a2_r1,CAP_I_tophat_sortedbam/wt_a2_r1/wt_a2_r1.sorted.bam,wt_a2
wt_a2_r2,CAP_I_tophat_sortedbam/wt_a2_r2/wt_a2_r2.sorted.bam,wt_a2
wt_a2_r3,CAP_I_tophat_sortedbam/wt_a2_r3/wt_a2_r3.sorted.bam,wt_a2
wt_a4_r1,CAP_I_tophat_sortedbam/wt_a4_r1/wt_a4_r1.sorted.bam,wt_a4
wt_a4_r2,CAP_I_tophat_sortedbam/wt_a4_r2/wt_a4_r2.sorted.bam,wt_a4
wt_a4_r3,CAP_I_tophat_sortedbam/wt_a4_r3/wt_a4_r3.sorted.bam,wt_a4
wt_kv_r1,CAP_I_tophat_sortedbam/wt_kv_r1/wt_kv_r1.sorted.bam,wt_kv
wt_kv_r2,CAP_I_tophat_sortedbam/wt_kv_r2/wt_kv_r2.sorted.bam,wt_kv
wt_kv_r3,CAP_I_tophat_sortedbam/wt_kv_r3/wt_kv_r3.sorted.bam,wt_kv
wt_mk_r1,CAP_I_tophat_sortedbam/wt_mk_r1/wt_mk_r1.sorted.bam,wt_mk
wt_mk_r2,CAP_I_tophat_sortedbam/wt_mk_r2/wt_mk_r2.sorted.bam,wt_mk
wt_mk_r3,CAP_I_tophat_sortedbam/wt_mk_r3/wt_mk_r3.sorted.bam,wt_mk
wt_un_r1,CAP_I_tophat_sortedbam/wt_un_r1/wt_un_r1.sorted.bam,wt_un
wt_un_r2,CAP_I_tophat_sortedbam/wt_un_r2/wt_un_r2.sorted.bam,wt_un
wt_un_r3,CAP_I_tophat_sortedbam/wt_un_r3/wt_un_r3.sorted.bam,wt_un