"","eds1_a2_r1","eds1_a2_r2","eds1_a2_r3","eds1_a4_r1","eds1_a4_r2","eds1_a4_r3","eds1_kv_r1","eds1_kv_r2","eds1_kv_r3","eds1_mk_r1","eds1_mk_r2","eds1_mk_r3","gdna_r1","gdna_r2","gdna_r3","gh_a2_r1","gh_a2_r2","gh_a2_r3","gh_a4_r1","gh_a4_r2","gh_a4_r3","gh_kv_r1","gh_kv_r2","gh_kv_r3","gh_mk_r1","gh_mk_r2","gh_mk_r3","myc234_a2_r1","myc234_a2_r2","myc234_a2_r3","myc234_a4_r1","myc234_a4_r2","myc234_a4_r3","myc234_kv_r1","myc234_kv_r2","myc234_kv_r3","myc234_mk_r1","myc234_mk_r2","myc234_mk_r3","peds_a2_r1","peds_a2_r2","peds_a2_r3","peds_a4_r1","peds_a4_r2","peds_a4_r3","peds_kv_r1","peds_kv_r2","peds_kv_r3","peds_mk_r1","peds_mk_r2","peds_mk_r3","r1ab_a2_r1","r1ab_a2_r2","r1ab_a2_r3","r1ab_a4_r1","r1ab_a4_r2","r1ab_a4_r3","r1ab_kv_r1","r1ab_kv_r2","r1ab_kv_r3","r1ab_mk_r1","r1ab_mk_r2","r1ab_mk_r3","sid2_a2_r1","sid2_a2_r2","sid2_a2_r3","sid2_a4_r1","sid2_a4_r2","sid2_a4_r3","sid2_kv_r1","sid2_kv_r2","sid2_kv_r3","sid2_mk_r1","sid2_mk_r2","sid2_mk_r3","tplr14_a2_r1","tplr14_a2_r2","tplr14_a2_r3","tplr14_a4_r1","tplr14_a4_r2","tplr14_a4_r3","tplr14_kv_r1","tplr14_kv_r2","tplr14_kv_r3","tplr14_mk_r1","tplr14_mk_r2","tplr14_mk_r3","wt_a2_r1","wt_a2_r2","wt_a2_r3","wt_a4_r1","wt_a4_r2","wt_a4_r3","wt_kv_r1","wt_kv_r2","wt_kv_r3","wt_mk_r1","wt_mk_r2","wt_mk_r3","wt_un_r1","wt_un_r2","wt_un_r3"
"AT1G01680_PUB54",15423.2499856208,7711.45865665241,8691.22971795295,3972.50373839567,3142.11231950666,1662.79347821515,5150.57080339871,2391.64529126446,2060.19594261743,1401.00941477836,279.637165830118,192.855022452702,13664.9201561326,17454.496452949,16749.5634309098,416.250420542225,281.889488497518,198.956851159639,506.610437191219,928.179918891784,438.069480179581,309.436554734266,311.732549293016,140.107613594928,604.578586562681,784.874052440656,598.964803108552,20420.9648886729,11880.2358135035,13096.3444674142,19588.7918567413,15545.0154678669,16131.2655993262,16639.9000001289,7900.4636792299,13354.7240306368,9984.08061964836,6345.97006940449,6102.3032221603,14067.2496197305,12968.5512978234,9943.10796565373,22789.2119653271,25180.4054767127,17179.9174402298,3793.43328171032,2761.66696109026,11835.6255453903,2091.72553722309,2868.70345855479,11391.5437270427,16565.3495109416,8668.66402805921,10732.7332964212,15685.8250501746,13769.7420064388,11725.9371838115,14833.5628463472,10768.485722189,12883.27569723,7539.33989584482,3373.39762899621,4757.52128008872,16353.552449817,12213.034024251,7768.25738112416,16607.9158721022,40832.7136265733,14480.716525069,8644.00260613441,9646.87890566085,3008.67434557654,5879.3800009018,6768.64506267594,9111.44822511946,10778.2811517427,10684.7584193551,6388.89862896095,13402.606821734,18984.3024091411,9599.08717751137,8033.54331577244,10409.6549988468,3550.84860693507,5897.35261864396,7183.01505482584,7070.98756237619,14434.9792523457,9000.95898597118,9129.03473761175,18624.659763505,15367.7032727992,15330.9708207032,7950.48110328633,8628.94779913476,10472.9702929563,7775.80253092139,7266.03474997587,6891.7997394476,242.832559567738,279.955784498422,1434.99585934994
"AT1G07160_AP2C2",2721.08633620441,5552.13818618392,3779.62260704235,9608.52300869198,8113.70573477603,5451.21696695358,9010.25483870203,6912.03627066242,4519.25887934002,591.489453328208,491.617163367949,195.89526216932,15264.5432403557,12094.6488870424,13550.6627532602,10240.0131727155,15511.1077610628,8330.96012547202,8126.51826732914,14807.3205333588,8407.48670753659,11701.3458174047,12295.377588711,8084.69563701406,651.169493847648,625.746274019431,293.460794488022,1423.25411566534,2121.94313966304,1057.18100218795,1765.87697098679,869.36444461741,889.422626145973,1892.45051766758,1903.47832543278,1221.32589872211,526.199854650405,587.856051494804,188.432406750944,10114.9834623766,12467.1653239458,2097.9145120445,9385.82412602002,8999.49064036506,1334.80899904849,19885.7022262346,13455.0135877988,2039.13273670466,1001.10030711119,562.521427777447,401.267754866282,1703.20636681611,2639.53110899141,2052.90106047543,941.671731504738,1770.05729131372,1603.31464518634,887.71063260523,1778.10765797299,1295.64885854991,138.312497553737,230.731549380428,158.108433068485,5133.86699379291,4421.48447188218,4978.07611159625,2439.36664120842,1865.1465419697,3178.78043263782,5351.44402674295,3905.57051178218,5741.11333217293,430.814618712361,692.388714080248,400.971605777945,3475.77989539448,2829.20256613058,3509.71365304535,1652.23627622588,1157.8272254087,2183.41456678861,2726.21182555766,2257.13109234103,4298.57795657257,384.687881820496,265.608904829651,110.560360394355,2658.4983294234,3781.1465451711,2920.0390615705,965.015342232221,2991.80114925413,1463.43553149543,1765.28378091546,3602.3037679235,5752.95447018662,288.7576132703,184.928859567492,212.074117820395,16.5085220046445,8.09783902217312,21.6626818849892
"AT1G07920",1211.16334723187,6223.24665165342,3370.45831821079,11045.8214148421,9977.19203653428,8443.86575198846,8261.79681715569,15142.5731234496,8087.85701272317,31142.9738159583,51300.4308494998,41786.2103123594,9519.15976266177,6438.04918979399,7497.99605628042,7491.34240077455,8114.73731893123,6573.25906819743,5616.24836775818,4732.95693447837,3743.41123091416,12437.342443191,8802.72400643204,9691.69335006669,43945.6813719402,36245.8033990376,29164.6665131951,2413.40820950329,1578.74865384384,1398.49465714495,2373.30358347172,1864.91692931547,1091.84744565192,2551.56953149647,4221.63500852874,1299.88051608131,14083.1924949521,12689.7111253281,6708.66934296946,4832.58602620857,6386.49496875099,3186.688185106,3792.00205895356,1886.27659343771,1780.46825443713,16132.1404334016,12962.5445805474,2512.86478268594,59334.1734455045,50168.7110092411,5730.66090987657,1973.59119205672,3067.31188050954,2096.5892612557,2000.30726912544,3382.66934636919,1333.4824570162,2379.72982623334,3163.98893300712,1727.17670780769,7371.42253169936,20131.8156220649,10916.0190149784,4194.28063875289,3512.83393013132,3250.96462472779,2566.04768606745,793.712498249601,1471.91177695103,5950.78582236138,5194.51919663792,7927.1914641243,31362.8256000511,23254.3502927783,7953.86195645464,4260.87244339324,3209.21723263675,2939.22558894579,2357.0368174163,1638.79317086202,1473.02863183902,4875.23117599246,4239.26817653015,4712.8167075874,14134.9289927507,16316.9173861878,15471.1363247443,2243.72475670985,2846.21971008095,1993.96416336205,1301.65023969804,1117.86997552315,1387.54655627947,3046.33406177727,3346.08884531022,1786.2462456964,8162.44553315523,9611.36378409385,6718.4921352933,22368.990340193,22866.4454594625,18480.1282821234
"AT1G19250_FMO1",8379.72409568534,2795.28855840095,2178.0895145427,1234.27270171697,1693.46243905292,1035.11620043241,1468.81765433787,369.785410459218,400.331035922579,615.765166308553,84.6050048066032,381.528578274796,17597.0928933839,14189.2760692934,17745.9924308496,259.656137206194,181.281860833561,431.961338036777,651.779882793574,318.954890477826,756.2875581094,1044.68387708476,249.207761015699,667.825439166636,376.987348547578,172.412451164369,253.483953905561,8607.61056773292,8329.54392343206,9577.00023206816,10930.6909711869,10362.9457133391,11864.7172050192,10507.1361688008,6760.22031158306,13534.5108255057,3776.9168494914,3296.67777715943,1175.3485207716,5093.5393613032,2577.35539460964,5730.0989384229,4159.84020233612,4799.43060965015,10474.8722983331,1257.37654856668,1537.69526594527,6128.23460035743,600.128322921034,1090.10731425082,4526.63419736585,27651.0305061084,12666.0093340314,6894.86137571678,24945.490903129,13587.0804070331,8375.53722597726,27272.5298282483,9844.59614954213,7799.39706942944,7780.27599678469,1913.34640006834,763.611349616519,9928.24283860868,23598.0431651852,3571.63107163689,19915.0051285403,18637.3450377218,6629.97485827015,16993.7760206433,16249.5473032465,3932.87519078931,4276.95265970529,4161.35134532869,1299.79754848078,8091.46319264037,7237.44945303103,5532.33851045639,8129.62332462863,14954.7905830728,6280.64375605219,11381.9312473808,7019.77097727734,3432.45335884024,2006.03001850725,1184.0665983298,313.579531981246,10090.9537056775,11301.0943745052,4338.75881434808,18884.8414247235,12144.5387674253,7925.14779575031,21681.5769750963,8430.19091972978,4743.2399718337,7403.48263422887,3190.92208944459,5211.07447941797,0,32.1547721643192,52.1320226800852
"AT1G32640_MYC2",3796.22364816436,2266.30713075276,2015.67559889141,9874.34842442345,4861.22624678568,10608.5859670915,10267.5992464221,9934.25302680705,6033.31420023058,94555.5966413447,68749.154330023,71946.1911982594,3328.19424186826,2438.52069663912,4925.61391914268,6223.73041319857,8549.18046685206,7740.93478515366,9978.04801364815,10732.799129815,9124.34963606064,8658.3273454832,11559.8929424858,15741.2817738774,42877.3957429297,58193.3713318696,90391.8504824656,1647.29343004374,1978.50840275905,1830.50362291828,1482.52264548576,1372.56796207775,1610.97172096895,2122.83229935235,1739.38674495325,1234.09729835546,8843.35513901824,4806.8861221866,7709.43747469781,2619.4137086782,2290.22264873673,1972.71247989387,3180.93735979904,2839.58483410439,1863.35546333517,6945.06828474131,4707.08142175127,1681.22639077043,19412.3777216939,15533.6540190399,5439.76561643278,5908.10729433507,6624.38644763037,2296.33609079578,2324.74608219527,1277.11269999394,1800.23565222118,2321.01173458787,1791.01815938559,1466.07577507859,19921.0494430504,22017.5207444354,40521.749451347,1580.31000058827,6030.71667021732,3387.33677794058,1976.97415318403,1123.66182712841,2286.23644039721,3605.35139771371,5663.52533415756,10571.4977683489,44866.9410308671,45689.3279759574,34243.9753499706,2195.16804448764,3189.35740206685,1876.09149344551,1977.55980663305,1955.52031738184,2675.66057981261,3199.98409286947,2457.12976354155,3795.51189440272,22255.2302666955,12168.1664579588,32979.2675724986,4990.64604873487,3770.99308635124,2380.52923186692,3062.34278567268,2287.77955338378,2269.72646786571,4221.63085585966,2751.7821001708,2941.070984636,34688.0899959155,26079.6016146129,20891.9933641241,26297.8847711134,26592.0797538197,26759.6794596299
"AT1G35210",3380.17239621324,6991.11582224781,3628.47025012198,7720.61621029083,6345.49793402217,3441.41060238677,5248.0277326028,3063.14314968805,3322.54094676388,220.085664599735,1114.06252472597,915.763186065245,4828.31907658518,7412.19993376996,9656.41552687578,25261.2457817721,14589.2615855746,7553.84022896581,17611.488033139,21425.4019139549,13485.4498563808,15203.8429866995,10030.0316703869,5313.75426443088,4177.2054061738,3660.73867302256,2350.8612812773,12058.0469626642,4634.94793889933,3032.36669694045,9231.18461004658,3661.32405479222,3241.39908073876,4699.9700456492,3318.49676100967,1935.3668526769,2737.39881898302,2422.30461817645,1340.88535994666,10197.1206970466,10599.4022087792,2726.45570953582,12644.1070712143,13595.4109186083,3560.21491984811,6997.31864637204,6867.29563746752,2209.51053974333,2637.04855611107,3265.96731965958,1578.54125377727,4597.2942115968,6078.77164035372,4166.8836905363,2529.46626787534,4357.57946398177,3657.07229243682,3305.64517032222,2926.69448717325,2954.69199005844,858.443695411849,1500.45061104063,1229.58545046492,9104.39134864232,4842.2707640139,4166.92063511464,8105.20621179203,15642.625748559,5100.34125475195,8483.97382935658,3478.34998243077,3137.28709951969,2115.9019139451,1417.35002721266,1351.27150574419,4483.36187368566,4411.38306516574,3364.55287272344,4081.37079539964,2637.17785069477,4480.74192474381,4308.47804895228,2317.4125748105,3062.31916923629,1489.06651479563,613.184251389922,925.365189521705,5668.5989314481,6823.45275780769,2545.33643246111,3256.32053590878,7995.54617552534,3433.9232569056,2652.17923612372,4233.96724021938,3163.69962621149,1326.46246254909,2772.89456680421,1197.54020806059,735.799273951108,903.221750481814,1398.40159372878
"AT1G43910",3239.54061046331,2863.80698245821,1906.97038213514,831.328527596383,815.201899810732,921.219774304656,1225.56374724968,956.543132609249,611.869832691497,991.432128407841,907.142360021882,661.51385354105,7149.99250298825,11118.8693398304,9642.05330885271,299.262062839384,266.188523377893,310.850370097817,344.116765972143,213.834546292177,342.376201124509,956.583797642529,443.145218602377,303.363772396128,3549.96158063714,4038.3059697219,7114.7089673245,6781.87556628334,5015.34799536058,3605.098885765,6756.5532974994,7652.65289510878,5776.72084274977,8364.5093497064,5432.59106654063,6767.11954603453,20554.9488258525,20822.2745532805,28610.0405575331,2477.77690679741,1348.45436889295,3004.75320909438,935.795916102318,1094.74242082883,6540.39708204337,469.521396423157,768.282186160068,5032.5778916332,3760.92278871344,3162.84657374182,19794.5548264716,3059.35593881397,3157.78214277094,2466.64702652893,6434.26374120161,8283.839535763,4615.28015019314,5743.35337919883,6906.69322092362,4336.39978545262,19796.2258226639,14704.3230467844,16255.109113691,5448.81262512034,3837.99924117687,3045.96749929934,6807.2980406444,5384.64606224541,4489.5424769081,5228.42110419219,5553.28120347124,2866.14230423325,18344.480766069,18031.0829382619,22752.6543595473,6134.06730800002,4548.37644705206,3171.43970554083,6919.30595447475,7311.44706944598,5403.56722430711,7232.19605773486,6309.7998857463,3800.17520370565,23482.0929623901,23044.4595788683,34231.0323087616,5865.8411544345,3370.35991646762,3209.3533706291,7295.973654696,5956.742147673,4485.17021253065,6035.17262828247,5385.26055203327,3869.5731662937,19752.4763236695,20449.6190880435,19345.3264117034,1464.74006959939,869.290473082503,5221.97660140327
"AT1G51920",24784.8004530765,46525.1898403243,42274.7551703017,93406.2836770854,60906.7112168094,91996.869165204,71936.5046971627,71342.1450149327,72558.4432401048,4612.00630635961,449.745178771812,1815.99956944826,18078.6847475842,3604.35259664675,18181.5723458737,77122.4529730636,57409.7747405335,107813.173696186,72357.167675758,56423.6653475625,102120.384703574,76436.8262141697,52202.2809933883,119020.16013241,5040.03467296577,3710.14135416996,2569.92438278408,47880.7632061513,43730.4805422634,38920.6289632642,40645.4635267448,38096.936055157,35903.8241897132,36832.2026628298,58394.7791810466,45857.7943408265,15493.5067505131,18170.5543246636,9175.06962731952,110866.572506058,91159.2797084236,54293.9283394476,138334.516963653,76339.7754995421,29855.1271668772,139936.724130264,125756.811859602,38928.2042110434,9813.1644346287,17547.3114687098,5505.96863536187,53299.8083610697,11658.6099532117,48248.4209731077,22435.0368192803,14270.0840492955,36066.9544173993,39110.2768921947,12998.7130172832,25800.3628902717,5458.36339696461,2874.20187527706,1915.9250313094,54442.1808627807,20709.9812336082,67267.8836713284,32030.4549515455,70690.4116464085,43114.255265039,78700.0790178748,30446.7595196284,64061.5737578203,5442.93045442547,3369.51525937546,3198.95304640348,34325.8706663523,23408.1717057171,55654.9628765091,19982.9448113774,8179.79624195765,37464.135341988,21860.3887002361,23322.6297999887,49196.6904364689,1517.46659876015,1230.81695668454,878.120150163488,16742.2151448376,33152.6787101652,40091.8069716041,12612.6010046556,25842.6712837251,34101.3248176198,23025.634353213,39479.0098718975,38028.8413409128,3960.07868279131,2829.03396634173,2869.55627558362,110.202187554444,148.656483587956,1306.64236332778
"AT1G53620",1616.29545353745,1200.40982429921,1216.66663753704,415.702401633204,259.434833744575,887.88329713611,381.05763569948,168.46382691178,808.786440858174,0,21.1751251172241,0,14591.8214346699,13236.7492140838,14591.4850315568,526.893313222895,282.632602042164,138.011394402269,610.613208792675,211.379812980149,290.149322986872,440.41867172004,31.2554334741353,99.7032556078422,2.86130314072697,0,0,6365.48444935741,4331.63887218352,2775.49627859102,5015.03325756445,5246.01629792155,3825.54748347104,2118.86090624984,1538.5695349467,2560.07496892076,1371.85354214341,1104.76567416444,435.187850728558,1340.82755090429,1193.55717152208,1754.68130602389,4387.61455168852,1989.19362180677,3219.03001573395,434.921013566119,264.281609970076,1309.65387206047,9.53290780876365,109.668743888412,801.7817518199,5030.6925888556,1355.50000749646,1839.8731049345,1182.80141968768,1226.16731529723,1855.99117325168,2093.68630185351,958.821542302159,1862.94191106453,373.012218863922,189.929256610493,339.284264531225,1734.2610176354,844.719621045653,1454.32517411357,1980.26161374549,8161.12425541681,2516.14502272297,983.878968882861,492.321916626063,518.580203635247,291.169791228577,594.919444688525,579.625048819509,686.116412197417,936.902175168976,105.556100009153,1143.39782600311,1023.95851113005,117.808191514844,823.778308861851,772.822673023383,19.1125784213016,14.2259960514809,38.2087471462865,0,2949.34089052639,2295.85015861595,1019.90540576277,1889.63649552915,3385.27755684937,2795.530576467,1393.3856913185,1129.2024432438,1467.40348776251,430.846501732084,685.01816994719,421.823753612836,0,7.49905515081524,0
"AT1G53625",27524.1718219818,44176.0891225189,58402.846816105,46128.7724804338,33084.8954570776,56058.208595901,47988.7171615622,23346.9726870185,40733.7830104485,1238.97046057373,706.379927670202,995.350368151156,18518.341477827,4922.67611448642,12415.8208042834,113404.748061203,45414.9701232647,111477.152029451,71059.0374690327,49541.1719356233,102289.295301274,38794.2037447364,18160.4903406836,65118.8213685957,4208.1029422018,2609.36984344833,2120.95363603831,28189.3903178008,44313.3142381262,38328.0475435415,23279.8643829166,33800.3899133972,30082.3093731728,14668.4532239984,22297.4150000728,27289.0837863101,5274.27242733267,9091.17171079845,3833.60164260911,53880.8549538236,82295.1735519999,47647.1143871524,74906.6211203123,45730.5685033661,37368.3381759829,47006.6316914862,60931.4438645926,30329.2983977578,6977.73613226331,6468.53561958171,4777.30050421831,36016.8538487958,18968.461733958,87846.1671079853,9083.6782678578,11254.0955383391,38115.6106619126,38707.9846386054,10987.2898134563,24351.8297349097,1449.52223656359,2605.4996110821,2194.89635592168,46538.377584749,18188.5122539551,64267.8420625571,25266.4166995442,98137.3445057651,40774.8753602736,43805.067211886,18507.0093716386,41354.5569929756,2939.92377763571,1572.33119642258,2697.18762077746,39437.2264272942,26621.4227264413,46257.3834051538,14179.1567578784,7714.24761965596,35760.3983124346,21804.467410042,11666.0524045805,36209.362368563,2473.69498072481,1293.07618017442,1057.87336275385,27223.3411372925,43078.0267700438,71736.5397924216,13867.3561564072,33124.2298256142,67403.1057518232,13705.4896874522,25431.4542037933,32202.1956051582,2454.29803666001,4989.7931831912,4315.17160233105,91.3808300635583,50.7572234818798,368.550072789416
"AT1G59860_HSP17.6A-CI",5393.07841852342,8813.87177998371,8874.35993363513,9132.38533051726,9391.86127147183,10439.1173908708,8026.14088364274,9842.44155186075,8176.27561820951,1431.38393922602,1191.26254227184,1421.13913674915,10072.4100736541,19328.3407995182,4431.75825930671,15059.1351915153,18204.1375075543,14183.4558086908,12409.9246881124,14511.0631639178,18189.4951567922,12572.8300331498,16716.6489357989,13675.1185194046,1493.17104398837,2094.68397287512,2505.67627321448,3173.07281667919,2004.34645962737,6308.33071856587,2786.61253732527,1472.49410816068,3886.74340382828,2155.17454440169,2341.26200608616,5049.46115194413,1863.10788103719,862.936667491528,1564.42339622383,16496.4511207703,12938.9333411698,7395.47269069219,11333.1656512335,12215.8209458714,4011.74161843884,24050.6622281238,25293.0671638592,6033.13731514653,9436.2282354031,10825.3712456852,2526.82196823925,3699.72681813011,4263.39768516035,5524.52451617045,2523.43848550578,5085.47183326772,5061.25187214245,2558.27353591736,2868.65026126248,5393.04114356559,463.528552398358,1335.62144160353,1310.40693372766,11483.5531293558,9847.76219942482,8510.3767862368,6072.13754397486,6401.20031715767,6087.81504550856,6756.85347810204,6916.38566812203,6636.59644454368,2025.34098264091,1834.27986932252,2457.44645559993,5434.52422615545,3883.03681258881,6866.6488535578,4189.46141488529,2162.02481712786,4415.01878190332,5733.84262968492,4094.76295241294,6155.26192054778,1526.99273033976,797.833134422303,1825.41297253325,1680.25767995317,2277.45178170996,6265.71650095262,1133.51971849033,1932.35399927338,3234.55313152913,2213.01023701666,3558.6213803083,6405.2343584934,1194.78730252066,2183.00385274212,1023.33440710151,1427.51190807131,1185.40272761074,1897.11688784248
"AT1G65483",26.2909115374286,0.431495102261904,60.881617992387,0,11.4704307776046,0.722505200359301,188.512748952925,0,36.4336928658259,3.89215688113788,0,0,29213.2149654218,18637.5907207233,25547.3654659795,0,63.3891913481857,0,13.3841715474396,0,0.634372172570915,50.3085503503932,117.587222171272,0,59.205378998357,0,0,140.312504761433,92.1601827810407,42.5702290284098,91.3805523715011,96.4448425418882,115.09643321486,86.6772863110515,35.7704510225371,79.6350558542568,94.7307031492818,61.3135405654323,8.99580388724873,129.140314753371,27.1393304013027,124.557781683841,56.5656320899876,40.9415489648807,112.152022334195,0,0,164.159173132268,0,43.6392039331793,206.627875540436,54.1949265574315,15.5717324105525,51.7176924668762,184.896693450416,63.1074985170354,104.521856733514,271.957494935368,47.6915839195529,64.2916502272286,21.580015739656,28.341125060673,16.0723130382419,13.8971800693801,15.5615474475762,134.808500712747,72.0728388249209,685.331217084148,98.4897497794691,170.787798138072,400.563316700798,12.7829026296933,13.368669049757,52.6065232648691,32.7618514428925,43.5344384632185,18.6794431710973,28.7107114759722,54.7779199671368,71.9032703854803,42.3204522160733,43.2556196681514,48.4372651093262,43.0963904674613,5.66078465779505,0,39.5768912188281,39.6703726263662,49.2675354571787,47.7159120631589,91.4004466079821,116.227969666076,146.082873923975,26.7684403641686,34.5021523140844,52.9393044572317,9.69018431333239,0,91.2235899787567,2.21211070751514,0,0
